,index,ML-MSE,ML-Corr,ML-R2
77,"['OUTPUT_GAP', 'GDP_chg12']",8.915325609998577,0.3903862928264522,-7.47420789272879
78,"['OUTPUT_GAP', 'USEPUINDXD_chg12']",5.412092805444706,0.4980096850586013,-4.144310098628865
79,"['OUTPUT_GAP', 'WILL5000INDFC_chg12']",6.325107781767801,0.32612361164869674,-5.012150383661146
80,"['OUTPUT_GAP', 'DTB3_chg']",5.4814519307783875,0.480496796945017,-4.210237432418701
81,"['OUTPUT_GAP', 'UMCSENT_chg']",5.438229647101895,0.5009950995477866,-4.169153726282123
82,"['OUTPUT_GAP', 'TEDRATE_chg']",5.419810225224634,0.503874012841939,-4.151645671379816
83,"['OUTPUT_GAP', 'BAAFF_chg']",5.435703645946089,0.4997517191188125,-4.166752708095242
84,"['OUTPUT_GAP', 'TCU_chg']",5.498396474419467,0.48797661845229157,-4.226343583976518
85,"['OUTPUT_GAP', 'AHETPI_chg']",6.554558441943583,0.4083646610583749,-5.230248149296624
86,"['OUTPUT_GAP', 'AWHNONAG_chg']",5.443552690116075,0.4989981870941839,-4.174213392647365
87,"['OUTPUT_GAP', 'PPIACO_chg']",5.457425040465928,0.4932473463197378,-4.187399358698183
88,"['OUTPUT_GAP', 'DFF_chg']",5.371866738802392,0.5006632011387055,-4.106074360940112
89,"['OUTPUT_GAP', 'MICH_chg']",5.45263210818575,0.5030613278855336,-4.1828435739366645
90,"['OUTPUT_GAP', 'VIXCLS_chg']",5.412648097866248,0.5011777701635075,-4.144837915965803
91,"['OUTPUT_GAP', 'WILL5000INDFC_chg']",5.458030766161357,0.4939095155337847,-4.187975113941859
92,"['OUTPUT_GAP', 'DGS3_chg']",5.418426037014565,0.5001861346497887,-4.150329970847058
93,"['OUTPUT_GAP', 'DEXCHUS_chg']",5.390866363058264,0.49759751171663996,-4.124133910626937
94,"['OUTPUT_GAP', 'DEXJPUS_chg']",5.576261351810819,0.4902723660269736,-4.3003558172275556
95,"['DTB3', 'PCEND']",0.12598710073518082,0.9916942706382905,0.8802465630380654
96,"['DTB3', 'PCEDG']",0.11360807795298845,0.9881424227195791,0.8920130892597745
97,"['DTB3', 'T10Y3M']",0.06652857479804705,0.9940694702770748,0.9367631651037703
98,"['DTB3', 'UMCSENT']",0.01842295248097444,0.996342243226906,0.9824885891832653
99,"['DTB3', 'UNRATE']",0.04895496234239526,0.9934054614781158,0.9534672600398458
100,"['DTB3', 'TEDRATE']",0.01742227150414743,0.9958997434627341,0.9834397578789348
101,"['DTB3', 'BAAFF']",0.06284174712992693,0.9942339432668617,0.9402675737469359
102,"['DTB3', 'WM2NS']",0.37756797853236446,0.9754914733753939,0.6411135516876396
103,"['DTB3', 'CFNAI']",0.02679143610964562,0.9934592312440739,0.9745341663031044
104,"['DTB3', 'TCU']",0.02064709149900868,0.9958623263240246,0.9803744974219937
105,"['DTB3', 'AHETPI']",0.14191087359437,0.9910050402779351,0.8651106759658058
106,"['DTB3', 'PCE']",0.13314756695199928,0.9921007607529098,0.8734403865746809
107,"['DTB3', 'AWHNONAG']",0.02188391689476131,0.9962709097027592,0.9791988683996662
108,"['DTB3', 'PPIACO']",0.10767416001690094,0.9915154799602389,0.8976534053187195
109,"['DTB3', 'DFF']",0.01223476225813056,0.9966508196863091,0.9883705964954064
110,"['DTB3', 'MICH']",0.02554195123456492,0.9944465333594767,0.9757218284316058
111,"['DTB3', 'VIXCLS']",0.029604629356221723,0.9926134002412834,0.971860165884413
112,"['DTB3', 'WILL5000INDFC']",0.5924151189304276,0.9575502621534075,0.43689674430041425
113,"['DTB3', 'USEPUINDXD']",0.01942877421077726,0.9961726898435491,0.9815325340918154
114,"['DTB3', 'DGS3']",0.043881238582839814,0.9946831082371849,0.9582899431149912
115,"['DTB3', 'DEXCHUS']",0.020515254705485972,0.9959764661999069,0.9804998111172074
116,"['DTB3', 'DEXJPUS']",0.019891745524134297,0.9960117879803698,0.9810924699450435
117,"['DTB3', 'GDP']",0.1380512069938118,0.9920048033369178,0.8687793717151872
118,"['DTB3', 'PCEND_chg12']",0.022134615892459117,0.9952266832219332,0.9789605736342335
119,"['DTB3', 'PCEDG_chg12']",0.02163586720431483,0.9958821865939049,0.9794346449418277
120,"['DTB3', 'UNRATE_chg12']",0.02020240814505324,0.9961066805927841,0.9807971784717613
121,"['DTB3', 'PCE_chg12']",0.02000015746474787,0.9959786257741218,0.9809894220741073
