,index,ML-MSE,ML-Corr,ML-R2,T-MSE,T-Corr,T-R2
109,"['INFLATION', 'PCEND', 'WILL5000INDFC']",79.46699800554299,0.3578734028700752,-74.53508320041526,12.758031036747864,0.5327724680682141,-11.12678168322165
110,"['INFLATION', 'PCEND', 'USEPUINDXD']",2.0464719965191382,-0.058484945139773425,-0.945215453006174,12.758031036747864,0.5327724680682141,-11.12678168322165
111,"['INFLATION', 'PCEND', 'DGS3']",1.2938507543021183,0.8772762075570789,-0.2298328466908186,12.758031036747864,0.5327724680682141,-11.12678168322165
112,"['INFLATION', 'PCEND', 'DEXCHUS']",2.6521813604106876,0.0680406632270972,-1.5209551732058406,12.758031036747864,0.5327724680682141,-11.12678168322165
113,"['INFLATION', 'PCEND', 'DEXJPUS']",1.041585144701185,0.2517924448055031,0.009951016900968779,12.758031036747864,0.5327724680682141,-11.12678168322165
114,"['INFLATION', 'PCEND', 'GDP']",1.2435029318574649,0.20369846188330182,-0.1819761633786925,12.758031036747864,0.5327724680682141,-11.12678168322165
115,"['INFLATION', 'PCEND', 'PCEND_chg12']",2.7762089708916626,-0.38756250823535393,-1.6388460727233447,12.758031036747864,0.5327724680682141,-11.12678168322165
116,"['INFLATION', 'PCEND', 'PCEDG_chg12']",1.7391603687165804,-0.13996736497978188,-0.6531091704346075,12.758031036747864,0.5327724680682141,-11.12678168322165
117,"['INFLATION', 'PCEND', 'UNRATE_chg12']",4.410219039701104,0.05243445840650652,-3.192007631553442,12.758031036747864,0.5327724680682141,-11.12678168322165
118,"['INFLATION', 'PCEND', 'PCE_chg12']",2.9941172502670867,0.007775184777377719,-1.8459725582555384,12.758031036747864,0.5327724680682141,-11.12678168322165
119,"['INFLATION', 'PCEND', 'WM2NS_chg12']",3.620337085288608,-0.6311422760661538,-2.4412079204470425,12.758031036747864,0.5327724680682141,-11.12678168322165
120,"['INFLATION', 'PCEND', 'GDP_chg12']",2.7904087941138482,0.129167745209616,-1.6523433087513637,12.758031036747864,0.5327724680682141,-11.12678168322165
121,"['INFLATION', 'PCEND', 'USEPUINDXD_chg12']",1.9062842789551546,-0.1778789916955688,-0.8119640256761369,12.758031036747864,0.5327724680682141,-11.12678168322165
122,"['INFLATION', 'PCEND', 'WILL5000INDFC_chg12']",1.9554601959529194,-0.286608360703572,-0.8587067877674364,12.758031036747864,0.5327724680682141,-11.12678168322165
123,"['INFLATION', 'PCEND', 'DTB3_chg']",1.8809235972942133,-0.1475906710085833,-0.7878581547189274,12.758031036747864,0.5327724680682141,-11.12678168322165
124,"['INFLATION', 'PCEND', 'UMCSENT_chg']",1.9597578483190052,-0.19116714267748636,-0.8627917983653719,12.758031036747864,0.5327724680682141,-11.12678168322165
125,"['INFLATION', 'PCEND', 'TEDRATE_chg']",1.9184687106881604,-0.18104431974855617,-0.8235455889388912,12.758031036747864,0.5327724680682141,-11.12678168322165
126,"['INFLATION', 'PCEND', 'BAAFF_chg']",1.8731698073269119,-0.1571768995305162,-0.7804880113260964,12.758031036747864,0.5327724680682141,-11.12678168322165
127,"['INFLATION', 'PCEND', 'TCU_chg']",1.9380755892157047,-0.16293312312870442,-0.8421823468138419,12.758031036747864,0.5327724680682141,-11.12678168322165
128,"['INFLATION', 'PCEND', 'AHETPI_chg']",5.274180282156205,-0.00774019609350604,-4.0132212921755315,12.758031036747864,0.5327724680682141,-11.12678168322165
129,"['INFLATION', 'PCEND', 'AWHNONAG_chg']",1.895494241726178,-0.16757657246703017,-0.8017078642470934,12.758031036747864,0.5327724680682141,-11.12678168322165
130,"['INFLATION', 'PCEND', 'PPIACO_chg']",2.0429189879839673,-0.21052719155859698,-0.9418382423142939,12.758031036747864,0.5327724680682141,-11.12678168322165
131,"['INFLATION', 'PCEND', 'DFF_chg']",1.9022379482315077,-0.1717142296659045,-0.8081179016807929,12.758031036747864,0.5327724680682141,-11.12678168322165
132,"['INFLATION', 'PCEND', 'MICH_chg']",1.8942081841467802,-0.17014540825609248,-0.8004854389800211,12.758031036747864,0.5327724680682141,-11.12678168322165
133,"['INFLATION', 'PCEND', 'VIXCLS_chg']",1.9266871031718642,-0.17735002166644936,-0.8313573469719169,12.758031036747864,0.5327724680682141,-11.12678168322165
134,"['INFLATION', 'PCEND', 'WILL5000INDFC_chg']",1.8627827463770472,-0.15969805048225275,-0.7706148874791241,12.758031036747864,0.5327724680682141,-11.12678168322165
135,"['INFLATION', 'PCEND', 'DGS3_chg']",1.895343901037353,-0.16879092538247825,-0.801564962203178,12.758031036747864,0.5327724680682141,-11.12678168322165
136,"['INFLATION', 'PCEND', 'DEXCHUS_chg']",1.9414145587466412,-0.1764341599503541,-0.8453561088490624,12.758031036747864,0.5327724680682141,-11.12678168322165
137,"['INFLATION', 'PCEND', 'DEXJPUS_chg']",1.9192516790218108,-0.17469451612291723,-0.8242898171054245,12.758031036747864,0.5327724680682141,-11.12678168322165
138,"['INFLATION', 'PCEDG', 'T10Y3M']",1.9405201444892934,0.2978195732815588,-0.8445059489457061,12.758031036747864,0.5327724680682141,-11.12678168322165
139,"['INFLATION', 'PCEDG', 'UMCSENT']",2.126763731247247,0.1357956375662602,-1.0215344661211572,12.758031036747864,0.5327724680682141,-11.12678168322165
140,"['INFLATION', 'PCEDG', 'UNRATE']",2.9113920278802814,0.3594250522435818,-1.7673404630136327,12.758031036747864,0.5327724680682141,-11.12678168322165
141,"['INFLATION', 'PCEDG', 'TEDRATE']",2.7384202420420145,-0.24145375825459486,-1.6029270767962926,12.758031036747864,0.5327724680682141,-11.12678168322165
142,"['INFLATION', 'PCEDG', 'BAAFF']",1.350349371734934,0.5036308519832257,-0.28353599234379123,12.758031036747864,0.5327724680682141,-11.12678168322165
143,"['INFLATION', 'PCEDG', 'WM2NS']",42.09507920043608,-0.30698500942282997,-39.0122741456928,12.758031036747864,0.5327724680682141,-11.12678168322165
144,"['INFLATION', 'PCEDG', 'CFNAI']",4.019267227062705,-0.05593169533545884,-2.8203995623404228,12.758031036747864,0.5327724680682141,-11.12678168322165
145,"['INFLATION', 'PCEDG', 'TCU']",3.0714889290084937,0.4021219642575348,-1.91951599562913,12.758031036747864,0.5327724680682141,-11.12678168322165
146,"['INFLATION', 'PCEDG', 'AHETPI']",3.013201429819529,-0.07767349719448248,-1.8641124795623032,12.758031036747864,0.5327724680682141,-11.12678168322165
147,"['INFLATION', 'PCEDG', 'PCE']",2.968356023820151,-0.09150680074298938,-1.8214859609025305,12.758031036747864,0.5327724680682141,-11.12678168322165
148,"['INFLATION', 'PCEDG', 'AWHNONAG']",9.129495403178366,0.28925836112779896,-7.677780867081271,12.758031036747864,0.5327724680682141,-11.12678168322165
149,"['INFLATION', 'PCEDG', 'PPIACO']",1.0537149339760823,0.20447873684105222,-0.0015786075353154683,12.758031036747864,0.5327724680682141,-11.12678168322165
150,"['INFLATION', 'PCEDG', 'DFF']",0.024577747028480684,0.991127263755112,0.9766383251756213,12.758031036747864,0.5327724680682141,-11.12678168322165
151,"['INFLATION', 'PCEDG', 'MICH']",3.069815053985752,-0.24769389946053708,-1.9179249415779744,12.758031036747864,0.5327724680682141,-11.12678168322165
152,"['INFLATION', 'PCEDG', 'VIXCLS']",2.8646132860081255,-0.1447109213470443,-1.7228762672090094,12.758031036747864,0.5327724680682141,-11.12678168322165
153,"['INFLATION', 'PCEDG', 'WILL5000INDFC']",125.30665458537543,0.37053249851678843,-118.10665832641396,12.758031036747864,0.5327724680682141,-11.12678168322165
154,"['INFLATION', 'PCEDG', 'USEPUINDXD']",2.8733616975966694,-0.08597305723842033,-1.73119181975028,12.758031036747864,0.5327724680682141,-11.12678168322165
155,"['INFLATION', 'PCEDG', 'DGS3']",1.6092401071323266,0.82410423987066,-0.529617179866374,12.758031036747864,0.5327724680682141,-11.12678168322165
156,"['INFLATION', 'PCEDG', 'DEXCHUS']",3.443616868583328,-0.020757637998106034,-2.273231570426904,12.758031036747864,0.5327724680682141,-11.12678168322165
157,"['INFLATION', 'PCEDG', 'DEXJPUS']",1.6798512297835155,0.31690349380379373,-0.5967345639150363,12.758031036747864,0.5327724680682141,-11.12678168322165
158,"['INFLATION', 'PCEDG', 'GDP']",3.2167211362383985,-0.12016125051101312,-2.057562318402335,12.758031036747864,0.5327724680682141,-11.12678168322165
159,"['INFLATION', 'PCEDG', 'PCEND_chg12']",3.8785112663497423,-0.44770491123182937,-2.6866080077297103,12.758031036747864,0.5327724680682141,-11.12678168322165
160,"['INFLATION', 'PCEDG', 'PCEDG_chg12']",3.3917673065471545,-0.16854162606562256,-2.2239474514768682,12.758031036747864,0.5327724680682141,-11.12678168322165
161,"['INFLATION', 'PCEDG', 'UNRATE_chg12']",7.717683918421578,0.026058142273322118,-6.335823820245712,12.758031036747864,0.5327724680682141,-11.12678168322165
162,"['INFLATION', 'PCEDG', 'PCE_chg12']",4.62334968099952,-0.043726507751235426,-3.3945928697917207,12.758031036747864,0.5327724680682141,-11.12678168322165
163,"['INFLATION', 'PCEDG', 'WM2NS_chg12']",5.063343962931935,-0.6685774228267664,-3.812816856196161,12.758031036747864,0.5327724680682141,-11.12678168322165
164,"['INFLATION', 'PCEDG', 'GDP_chg12']",4.511370139961905,0.06148199990404968,-3.2881539182607886,12.758031036747864,0.5327724680682141,-11.12678168322165
165,"['INFLATION', 'PCEDG', 'USEPUINDXD_chg12']",2.6359622825007527,-0.1408494972315169,-1.5055385923595943,12.758031036747864,0.5327724680682141,-11.12678168322165
166,"['INFLATION', 'PCEDG', 'WILL5000INDFC_chg12']",3.300389196333351,-0.260478560826537,-2.137090601074454,12.758031036747864,0.5327724680682141,-11.12678168322165
